n,point,mu1,mu2,relative_q_error_percent
0,verification,4.875,0.0225,2.498921178151808
0,offgrid1,4.56,0.019,3.923701860897343
0,offgrid2,5.19,0.026,4.248892039700099
0,extrapolation20pct,4.0,0.033,7.443767383104929
10,verification,4.875,0.0225,2.4400380424137365
10,offgrid1,4.56,0.019,3.360623382199341
10,offgrid2,5.19,0.026,3.906149605554135
10,extrapolation20pct,4.0,0.033,4.256943666934795
20,verification,4.875,0.0225,2.401295226738283
20,offgrid1,4.56,0.019,3.123405259094419
20,offgrid2,5.19,0.026,3.5118936224267365
20,extrapolation20pct,4.0,0.033,3.661664933518645
30,verification,4.875,0.0225,2.3717396824014245
30,offgrid1,4.56,0.019,3.0197111936972747
30,offgrid2,5.19,0.026,3.3668467165260196
30,extrapolation20pct,4.0,0.033,3.5005304862028264
50,verification,4.875,0.0225,2.3194740823612383
50,offgrid1,4.56,0.019,2.847470186532268
50,offgrid2,5.19,0.026,3.1134521200046414
50,extrapolation20pct,4.0,0.033,3.25597584150287
100,verification,4.875,0.0225,1.7071912877176705
100,offgrid1,4.56,0.019,1.8968419650572925
100,offgrid2,5.19,0.026,1.8590197735468963
100,extrapolation20pct,4.0,0.033,1.806003974371698
151,verification,4.875,0.0225,0.0
151,offgrid1,4.56,0.019,0.0
151,offgrid2,5.19,0.026,0.0
151,extrapolation20pct,4.0,0.033,0.0
